state,year,so2,no2,rspm,spm,pm2_5
Andhra Pradesh,1990.0,8.86896551724138,15.296551724137931,,131.66666666666666,
Andhra Pradesh,1991.0,10.81111111111111,18.827777777777776,,152.57142857142858,
Andhra Pradesh,1992.0,19.976470588235294,36.252941176470586,,210.64367816091954,
Andhra Pradesh,1993.0,8.544444444444444,15.961111111111112,,,
Andhra Pradesh,1994.0,10.76031746031746,18.273015873015872,,130.86666666666667,
Andhra Pradesh,1995.0,17.225274725274726,33.53186813186813,,164.1046511627907,
Andhra Pradesh,1996.0,20.35604395604396,37.17912087912088,,172.60493827160494,
Andhra Pradesh,1997.0,21.069230769230767,39.10989010989011,,177.78571428571428,
Andhra Pradesh,1998.0,11.49189189189189,26.40945945945946,,175.35135135135135,
Andhra Pradesh,1999.0,14.38425925925926,19.887962962962963,,197.50925925925927,
Andhra Pradesh,2000.0,13.885046728971963,23.86355140186916,,140.9351851851852,
Andhra Pradesh,2001.0,12.00095238095238,27.105714285714285,,142.7904761904762,
Andhra Pradesh,2002.0,7.506666666666667,24.976190476190474,,85.86666666666666,
Andhra Pradesh,2004.0,7.338766519823789,31.430506607929516,85.12082405345211,170.24298440979956,
Andhra Pradesh,2005.0,6.105912596401028,30.12773006134969,79.3605359317905,220.25728155339806,
Andhra Pradesh,2006.0,7.933035714285714,27.641621029572836,85.93876435210498,202.29180327868852,
Andhra Pradesh,2007.0,6.538941118258288,27.03730826323602,81.51388212372139,199.02873843156357,
Andhra Pradesh,2008.0,6.935286103542234,25.3102495543672,82.35834813499112,206.03553976010662,
Andhra Pradesh,2009.0,7.3436222005842255,22.1351012536162,82.74399615754082,214.43707973102786,
Andhra Pradesh,2010.0,5.365274725274725,15.397188049209138,69.48728070175439,,
Andhra Pradesh,2011.0,4.642877492877493,23.969164882226984,78.89409672830726,205.7198689956332,
Andhra Pradesh,2012.0,7.438174273858921,15.76285240464345,77.66199036918138,,
Andhra Pradesh,2013.0,7.379130434782609,17.400198609731877,76.64749580637431,,
Andhra Pradesh,2014.0,8.658371040723981,18.58235294117647,74.89686291362268,,
Andhra Pradesh,2015.0,6.892677256877179,20.760945370011623,73.23288718929254,,
Arunachal Pradesh,2014.0,2.0,5.0,69.4,,
Arunachal Pradesh,2015.0,3.7555555555555555,5.704545454545454,80.30508474576271,,
